post_id,user_id_hash,text,lang,timestamp_utc,city,platform,device,likes,shares,user_posts_last_24h,text_clean
p0147,u6627,RT @u2186: 'mañana estudio' #soledad #ansiedad this is fine lol loooool loooool loooool loooool loooool,es,2025-08-16 08:52:16,Bogotá,TikTok,Android,39,0,1,RT : 'mañana estudio' #soledad #ansidad this is fine lol lol lol lol lol lol
p0029,u8005,Estoy tranqui xq proyecto 😡 https://bit.ly/3xYZ loooool loooool loooool loooool,es,2025-08-16 01:08:16,Buenos Aires,Instagram,Android,19,0,10,Estoy tranqui xq proyecto cara de puchero lol lol lol lol
p0041,u5911,Hoy fue un día quemado en la parciales 🤯  this is fine lol loooool loooool loooool loooool loooool,pt,2025-08-16 21:56:16,La Paz,Instagram,Android,76,1,10,Hoy fue un día quemado en la parciales cabeza explosiva this is fine lol lol lol lol lol lol
p0115,u5911,"Nada mal el profe, pero excelente servicio #sad #finales",es,2025-08-18 12:58:16,Quito,Twitter,Android,42,4,5,"Nada mal el profe, pero excelente servicio #triste #final"
p0026,u2341,q tal si parciales? 😢  @u6627,pt,2025-08-27 04:44:16,Ciudad de México,TikTok,iOS,45,10,3,q tal si parciales? cara llorada
p0024,u5919,Estoy quemado xq transporte 👍  #finales #love #alegria @u2186,es,2025-08-11 11:42:16,Buenos Aires,Instagram,Nokia-3310,0,0,2,Estoy quemado xq transporte pulgares hacia arriba #final #amar #alegria
post_id,user_id_hash,text,lang,timestamp_utc,city,platform,device,likes,shares,user_posts_last_24h,text
p0201,u3001,Hoy fue un día rarísimo en la universidad 🤔✨ #estres #finales,es,2025-08-25 08:15:16,Lima,Twitter,Android,15,2,3,Hoy fue un día rarísimo en la universidad cara pensante chispas #estres #final
p0202,u4123,Me siento increíble 💃🔥 #feliz #music,es,2025-08-22 14:33:16,Bogotá,Instagram,iOS,89,12,5,Me siento increíble mujer bailando fuego #feliz #música
p0203,u2788,RT @u4421: 'sin café no funciono' ☕😴 #study,es,2025-08-19 09:47:16,Santiago,Twitter,Web,33,5,1,RT : 'sin café no funciono' bebida caliente cara dormida #estudiar
p0204,u5890,q tal si mejor me voy al gym 🏋️😂 #soledad #alegria,es,2025-08-18 21:20:16,Quito,Instagram,Android,21,4,2,q tal si mejor me voy al gym persona levantando pesas cara con lágrimas de alegría #soledad #alegria
p0205,u7612,Estoy cansadoooo 😩😩 pero toca tesis #universidad,es,2025-08-26 23:05:16,La Paz,TikTok,Android,11,1,3,Estoy cansado cara cansada pero toca tesis #universidad
p0206,u8432,Cuando el profe dice 'fácil' y no entiendo nada 🤯📚 #estres,es,2025-08-28 18:45:16,Ciudad de México,Twitter,iOS,54,8,10,Cuando el profe dice 'fácil' y no entiendo nada cabeza explosiva libros #estres
p0207,u9321,No puedo más con el tráfico 🚗💨😡 #estres,es,2025-08-27 07:40:16,Lima,Instagram,Web,4,0,1,No puedo más con el tráfico automóvil saliendo corriendo cara de puchero #estres
p0208,u1445,Qué bonito día 🌞🌻 #feliz #amigos,es,2025-08-29 15:12:16,Buenos Aires,Twitter,Android,76,19,3,Qué bonito día sol con la cara girasol #feliz #amigos
p0209,u6110,Sólo diré: 'mañana sí estudio' 📖🙃 #meme,es,2025-08-20 11:18:16,Quito,TikTok,iOS,9,2,2,Sólo diré: 'mañana sí estudio' libro abierto cara al revés #meme
p0210,u2883,😂😂 nada como un buen meme en medio de parciales #universidad,es,2025-08-30 16:40:16,Santiago,Instagram,Android,102,23,30,cara con lágrimas de alegría nada como un buen meme en medio de parciales #universidad
p0211,u9002,Ansiedad nivel: refresh cada 2 segundos 📱😬 #ansiedad,es,2025-08-19 20:33:16,Bogotá,Twitter,Android,12,0,1,Ansiedad nivel: refresh cada 2 segundos teléfono móvil rostro #ansidad
p0212,u5039,Estoy chill escuchando música 🎧😎 #alegria #music,es,2025-08-17 19:28:16,Montevideo,Instagram,Web,63,5,2,Estoy chill escuchando música auricular cara sonriente con gafas de sol #alegria #música
p0213,u7124,Cuando abro Blackboard y no carga 😡💻 #estres,es,2025-08-25 08:45:16,San José,TikTok,Android,7,0,1,Cuando abro Blackboard y no carga cara de puchero computadora portátil #estres
p0214,u8450,fiesta + parciales = RIP 😵🎉📚 #universidad,es,2025-08-23 22:12:16,Lima,Twitter,Android,41,6,5,fiesta + parciales = RIP rostro golpeado party popper libros #universidad
p0215,u2229,Voy por café otra vez ☕😵 #study #soledad,es,2025-08-21 10:22:16,Quito,Instagram,iOS,32,0,3,Voy por café otra vez bebida caliente rostro golpeado #estudiar #soledad
p0216,u1199,Mis amigos todos de viaje y yo con tarea 😭📝 #soledad,es,2025-08-24 18:01:16,Santiago,Twitter,Android,17,1,2,Mis amigos todos de viaje y yo con tarea cara llorada memorándum #soledad
p0217,u4410,El examen estaba brutal 🔥🧠 #universidad #finales,es,2025-08-27 09:17:16,Ciudad de México,TikTok,iOS,28,2,4,El examen estaba brutal fuego cerebro #universidad #final
p0218,u3842,Me siento motivado 💪😁 vamos con todo! #happy,es,2025-08-28 07:35:16,Buenos Aires,Instagram,Android,95,21,10,Me siento motivado bíceps flexionado cara radiante con ojos sonrientes vamos con todo! #feliz
p0219,u7205,qué servicio tan lento 😤📶 #estres,es,2025-08-26 13:50:16,La Paz,Twitter,Android,0,0,1,qué servicio tan lento cara con vapor de la nariz barras de antena #estres
p0220,u5088,Dormí 3 horas 💤😵 pero al menos entregué el trabajo #study,es,2025-08-31 04:14:16,Lima,Instagram,iOS,48,3,2,Dormí 3 horas z rostro golpeado pero al menos entregué el trabajo #estudiar
