post_id,user_id_hash,text,lang,timestamp_utc,city,platform,device,likes,shares,user_posts_last_24h,text_clean
p0157,u8353,Compra seguidores YA!!! 😎😎 visita http://spam.example #happy #gym,es,2025-08-23 17:47:16,La Paz,Twitter,Android,0,0,200,Compra seguidores YA!!! cara sonriente con gafas de sol visita #feliz #gimnasia
p0099,u7909,No puedo con la finales!!! nooooo🤯 #happy @u5717,mixed,2025-08-23 11:11:16,San José,TikTok,iOS,39,0,10,No puedo con la finales!!! no cabeza explosiva #feliz
p0057,u4622,Solo diré: 'hoy si entreno' #estres #feliz #ansiedad @u7867,mixed,2025-08-08 00:08:16,Quito,Instagram,Nokia-3310,25,0,30,Solo diré: 'hoy si entreno' #estres #feliz #ansidad
p0135,u8628,😢 yo viendo el syllabus,es,2025-08-02 09:24:16,La Paz,Twitter,Android,52,4,1,cara llorada yo viendo el syllabus
p0162,u9711,Compra seguidores YA!!! 😎😎 visita http://spam.example #gym #love,es,2025-08-25 15:32:16,Bogotá,Twitter,Android,0,0,200,Compra seguidores YA!!! cara sonriente con gafas de sol visita #gimnasia #amar
p0140,u7851,Solo diré: 'hoy si entreno' #sad #music #love,es,2025-08-15 17:08:16,Asunción,TikTok,Web,92,10,5,Solo diré: 'hoy si entreno' #triste #música #amar
p0079,u2486,Estoy quemado xq examen 😎  #music tudo bem? 😂😂😂😂😂😂😂,pt,2025-08-31 05:12:16,Buenos Aires,Instagram,Web,7,5,60,Estoy quemado xq examen cara sonriente con gafas de sol #música tudo bem? cara con lágrimas de alegría
p0061,u6604,No puedo con la clases!!! ufffffff🤔 #finales tudo bem? 😂😂😂😂😂😂😂😂😂,en,2025-08-28 01:13:16,NaN,Twitter,Android,80,0,1,No puedo con la clases!!! uf cara pensante #final tudo bem? cara con lágrimas de alegría
p0085,u2542,Estoy motivado xq tesis 😢 http://example.com,es,2025-08-30 05:02:16,Santiago,Twitter,iOS,21,0,3,Estoy motivado xq tesis cara llorada
p0003,u5911,"Nada mal el profe, pero excelente servicio  this is fine lol",es,2025-08-22 19:56:16,La Paz,TikTok,Web,24,0,5,"Nada mal el profe, pero excelente servicio this is fine lol"
p0095,u2199,No puedo con la universidad!!! nooooo😴 #soledad #gym,pt,2025-08-24 17:46:16,Ciudad de México,Twitter,Web,0,8,5,No puedo con la universidad!!! no cara dormida #soledad #gimnasia
p0046,u8353,Estoy on fire xq proyecto 😭 https://bit.ly/3xYZ #crack,mixed,2025-08-08 16:55:16,La Paz,Instagram,Web,0,3,2,Estoy on fire xq proyecto cara llorada #grieta
p0043,u5070,Hoy fue un día estresado en la tesis 🔥 #trabajo #sad #gym,pt,2025-08-19 17:20:16,Lima,Instagram,Android,0,6,1,Hoy fue un día estresado en la tesis fuego #trabajo #triste #gimnasia
p0070,u1968,q tal si finales? 👍 #crack #happy #sleep,pt,2025-08-19 02:07:16,Asunción,TikTok,iOS,0,13,10,q tal si finales? pulgares hacia arriba #grieta #feliz #dormir
p0155,u1791,Compra seguidores YA!!! 😎😎 visita http://spam.example #trabajo #love 🔥,es,2025-08-05 03:04:16,Montevideo,Twitter,Android,0,0,200,Compra seguidores YA!!! cara sonriente con gafas de sol visita #trabajo #amar fuego
p0027,u1812,Estoy triste xq clases 😊  #meme #trabajo #sad this is fine lol,es,2025-08-13 05:08:16,Buenos Aires,Twitter,Android,70,3,30,Estoy triste xq clases cara sonriente con ojos sonrientes #meme #trabajo #triste this is fine lol
p0142,u7468,No puedo con la finales!!! nooooo😭 #happy this is fine lol tudo bem?,es,2025-08-21 22:43:16,Montevideo,Twítter,Android,3,0,3,No puedo con la finales!!! no cara llorada #feliz this is fine lol tudo bem?
p0118,u9974,No puedo con la transporte!!! siiiiiiii🙌 #finales #saludmental #sleep @u9111 loooool loooool loooool loooool loooool,pt,2025-08-18 10:30:16,Buenos Aires,TikTok,Android,0,0,3,No puedo con la transporte!!! si levantando las manos #final #saludo #dormir lol lol lol lol lol
p0094,u9858,Estoy quemado xq universidad 😢  #finales #love #happy @u8424,es,2025-08-09 10:12:16,Quito,TikTok,Android,89,3,5,Estoy quemado xq universidad cara llorada #final #amar #feliz
p0134,u3961,Solo diré: 'mañana estudio' #love #CrAcK,pt,2025-08-04 20:56:16,Lima,Twitter,iOS,32,4,3,Solo diré: 'mañana estudio' #amar #grieta
p0037,u4517,😂😂 qué podría salir mal  @u9011,pt,2025-08-25 20:41:16,Santiago,Instagram,iOS,36,0,1,cara con lágrimas de alegría qué podría salir mal
p0083,u2596,Me siento feliz pero voy al parciales 😡 #love #crack #soledad,es,2025-08-05 18:07:16,Quito,Twitter,Web,45,0,60,Me siento feliz pero voy al parciales cara de puchero #amar #grieta #soledad
p0023,u3181,Hoy fue un día estresado en la proyecto 😴 #study @u3490 tudo bem?,es,2025-08-29 02:50:16,NaN,Twitter,iOS,22,18,1,Hoy fue un día estresado en la proyecto cara dormida #estudiar tudo bem?
p0127,u9858,😡 yo viendo el syllabus #feliz @u7468,es,2025-08-27 19:28:16,Lima,TikTok,Android,43,13,5,cara de puchero yo viendo el syllabus #feliz
p0068,u3945,Solo diré: 'hoy si entreno'  @u9111,pt,2025-08-23 16:15:16,NaN,Instagram,Web,94,6,2,Solo diré: 'hoy si entreno'
