post_id,user_id_hash,text,lang,timestamp_utc,city,platform,device,likes,shares,user_posts_last_24h,text_clean
p0098,u7909,NaN,es,2025-08-14 06:32:16,Quito,Instagram,iOS,46,0,3,NaN
p0012,u2542,"😊😊 obvio que sí, cómo no  this is fine lol tudo bem? 😂😂😂😂😂😂 mira esto: https://tiny.cc/b",en,2025-08-30 23:49:16,Quito,Twitter,iOS,39,9,2,"cara sonriente con ojos sonrientes obvio que sí, cómo no this is fine lol tudo bem? cara con lágrimas de alegría mira esto:"
p0066,u4078,"😭😭 obvio que sí, cómo no  @u2199",es,2025-08-08 00:39:16,NaN,Instagram,iOS,47,0,1,"cara llorada obvio que sí, cómo no"
p0087,u7850,No puedo con la proyecto!!! buenooooo😬  tudo bem?,mixed,2025-08-03 04:12:16,Montevideo,Instagram,Android,9,7,2,No puedo con la proyecto!!! bueno rostro tudo bem?
p0007,u4943,"Nada mal el profe, pero qué podría salir mal #sleep #music @u1968 this is fine lol",es,2025-08-16 21:14:16,La Paz,Instagram,Web,41,5,1,"Nada mal el profe, pero qué podría salir mal #dormir #música this is fine lol"
p0028,u9711,Estoy on fire xq universidad 🔥  #saludmental #soledad @u9974 this is fine lol tudo bem?,es,2025-08-06 20:42:16,San José,TikTok,Web,56,9,60,Estoy on fire xq universidad fuego #saludo #soledad this is fine lol tudo bem?
p0077,u7867,Hoy fue un día triste en la tesis ✨ #study #music @u2028 this is fine lol,es,2025-08-16 04:46:16,Ciudad de México,TikTok,Web,0,2,2,Hoy fue un día triste en la tesis chispas #estudiar #música this is fine lol
p0143,u2013,No puedo con la examen!!! buenooooo😡 #trabajo #feliz @u7101 😂😂😂😂,es,2025-08-05 22:51:16,NaN,TikTok,Android,65,0,2,No puedo con la examen!!! bueno cara de puchero #trabajo #feliz cara con lágrimas de alegría
p0039,u2408,Me siento tranqui pero voy al tesis 😊 #gym,mixed,2025-08-30 18:58:16,Montevideo,TikTok,iOS,67,6,60,Me siento tranqui pero voy al tesis cara sonriente con ojos sonrientes #gimnasia
p0042,u3363,Estoy quemado xq finales ❤️  #gym #soledad tudo bem?,es,2025-08-12 13:30:16,Montevideo,Twitter,iOS,39,0,10,Estoy quemado xq finales corazón rojo #gimnasia #soledad tudo bem?
post_id,user_id_hash,text,lang,timestamp_utc,city,platform,device,likes,shares,user_posts_last_24h,text
p0005,u4622,👍 yo viendo el syllabus #feliz #virus @u7867 #CrAcK,es,2025-08-10 22:19:16,Santiago,Twitter,iOS,40,2,1,pulgares hacia arriba yo viendo el syllabus #feliz #virus #grieta
p0139,u2486,Estoy tranqui xq chamba 😢 http://example.com loooool loooool loooool,es,2025-08-20 23:34:16,Asunción,Twitter,Android,0,2,5,Estoy tranqui xq chamba cara llorada lol lol lol
p0033,u3363,RT @u2688: 'mañana estudio'  @u3490 this is fine lol,es,2025-08-28 23:39:16,Asunción,Instagram,Web,41,10,1,RT : 'mañana estudio' this is fine lol
p0145,u1791,Solo diré: atrapada y no llego a mi clase 😡,es,2025-08-26 07:30:16,Lima,Instagram,Web,0,0,30,Solo diré: atrapada y no llego a mi clase cara de puchero
p0110,u9779,Solo diré: 'no hay vida sin café' #finales #gym,es,2025-08-13 05:49:16,Asunción,Twitter,Web,0,0,2,Solo diré: 'no hay vida sin café' #final #gimnasia
p0069,u7867,Estoy tranqui xq universidad 😊  #saludmental #trabajo,es,2025-08-08 15:32:16,La Paz,Instagram,Web,17,14,30,Estoy tranqui xq universidad cara sonriente con ojos sonrientes #saludo #trabajo
p0011,u3490,🤯🤯 jajaja claro 🤡 #sleep #sad this is fine lol,en,2025-08-11 05:33:16,Buenos Aires,Instagram,Web,12,0,2,cabeza explosiva jajaja claro cara de payaso #dormir #triste this is fine lol
p0097,u7955,Me siento motivado pero voy al examen ❤️  @u3961 this is fine lol tudo bem?,mixed,2025-08-10 04:39:16,Asunción,Twitter,Web,9,7,10,Me siento motivado pero voy al examen corazón rojo this is fine lol tudo bem?
p0112,u1950,No puedo con la parciales!!! nooooo😬 #ansiedad #crack #sad,mixed,2025-08-11 01:39:16,NaN,Twitter,Web,23,0,3,No puedo con la parciales!!! no rostro #ansidad #grieta #triste
p0001,u2028,🤯 el excel se colgó otra vez #virus #crack #CrAcK,es,2025-08-03 19:59:16,Asunción,TikTok,Android,75,1,60,cabeza explosiva el excel se colgó otra vez #virus #grieta #grieta
p0123,u6627,"Nada mal el profe, pero jajaja claro 🤡 #finales #saludmental #virus",mixed,2025-08-23 19:08:16,NaN,Twítter,Android,74,0,3,"Nada mal el profe, pero jajaja claro cara de payaso #final #saludo #virus"
p0124,u6054,Me siento on fire pero voy al examen 😊 #music,es,2025-08-31 05:56:16,Asunción,TikTok,Web,0,8,3,Me siento on fire pero voy al examen cara sonriente con ojos sonrientes #música
p0065,u5911,"🤔🤔 obvio que sí, cómo no #ansiedad #virus #music @u3363",en,2025-08-02 23:54:16,La Paz,Twitter,Android,53,9,5,"cara pensante obvio que sí, cómo no #ansidad #virus #música"
p0045,u8005,Hoy fue un día feliz en la examen 🙌 #meme #happy @u5070,es,2025-08-19 21:52:16,San José,TikTok,Android,25,1,5,Hoy fue un día feliz en la examen levantando las manos #meme #feliz
